# Кураторский список {account}<TAB>{name} для ninja /character API.
# Один билд на строку; # = комментарий. Разделитель: tab (или , | /).
# Расширяется из https://poe.ninja/poe1/builds/mirage через web-search индексацию character-страниц.
# Стратификация по классам/архетипам для ML-корпуса.

# === seed (автор) — Pathfinder ===
heygyus-0416	ResurrectSanest
jackllam-4083	Mirage_WhyAreYouRunning
jacny-0527	Kagotto
jacob123329-4679	EboyKaj
jakusya3-7525	NmMSGMrg
jaunais87-7251	Chain_me_plzzz
jbdcr-0277	東雪蓮
jemona25-0326	Bist_Slam
jendroo-4661	MAMBAAAAAAAH
jho7heart-7150	アメノタヂカラオ
jiegege1989-1384	魔不魔捏
jihailiang3-3075	幻境万箭女巫
jldittlinger-0439	ChainHook_Enjoyer_Yay
jnfected-3850	Snydelwatson
joelmix-3564	SoftDickFarmer
johann_94-7578	elOwStriker
joonozzle-3830	jefffiForTheDjinn
jorgecourt-6098	jorgecourtkboc
jsh8161-6969	YooY_AuraB
juli-9707	juli_Cyclone
k01421-3690	onlynec_mirror
k1dsw1thguns-2010	Bogemasixnine
k4bi-8800	幻境_卡比老头乐
kahsjasn-2429	リン・ウレ
kakazunana-5138	kkkazuna
kalisbas-0515	Daelaam_Mirage_T
kalymist-4579	Mir_tion
kan_kogiro-1677	Mirage_manaG
kanedead-4247	PapkaMamkaNagibator
kasar_dobi-3915	DisabledXhongi
kashmeme-2594	FiveWayOrGay
kasilda1-2729	KEST_MIDAS
kasiorek900-7768	Szokens
kbSSMC-6575	たこわさ
kendelin1-4042	Qasawka
kenhoyt-5059	CaptainChill
kenntrf-6615	VIPER_MIRAGE
kenson1989-2730	KensonMirage
ketsuge-1006	CacaoBacky
kevwalker-1983	SmiteOfDivineOjisan
key0718-3730	马拉吉咕咕嘎嘎
kfcgaran-3973	Mir_Garan_Stacking
kijihuck-1191	Mirage_Jumk
kikakugai-7736	ワシの精霊が敵を完全に撃滅します
kiki_lecolibri-2549	JackGlan
killerdoggo-4991	killer_eb
killerfrost93-2888	NoTearsLeftToCry
kimlime-2481	김낙오
kingofmoney-3868	KingOfBrands
kitayama1223-6679	MtShazbot
kittikhao05-6971	ZTMZT
knekne-5038	NetinhoMinhaBença
knhan1-3705	Creme
konzetz-1880	FeverDreamIsBack
kovacspl-5457	Kovaxxo_Mirage
kryakrya39-0573	Mama_Bez_Kurtki
kubatus-5946	AuruhGejuh
kubb4-0930	zbejtowana_suka
kurbakOFFF-4257	GOLOVACHENKONIKOLAY
kyokeun-7511	freezinstick
l1461955540-0863	无限闪打的我在裂隙里面如入无人之境
l767965778-4770	化腾闪打
laowu123-3779	大只佬又来了
lawhotin-3013	牛壁時施放
lawrenceliu-3188	Mir_LawrenceLiu
leaf2569-1589	打寶遊戲沒寶
lendive-3122	Lendive_mirage
lightstepau-7077	Lightstep_Mirage
lightxiii13xiii-2249	LightXIII_NoLuckV
limetwigs1-6712	Xorab
lns788-6323	Mirage_Poison_A
lolperlol627-3190	The_Final_Harbinger
loner1-7208	BinQBonQ
longwill-6636	LongwillRoundTen
lootgoblinxd888-6404	MirageZXChamp
lordlogitech-3909	Accuracy_dream_lives
lordpablo35-7746	A_no_bueno
lovechingwa-0104	MirageSpider
lowlowlowererer-6467	マナスタッカーーー
lulunice99-0622	SIXSEVEN_OrangeJuice
lumynara-2052	Pelusnova
m01t4-7648	BAZUKA_Kalandrification
m1tisT-4326	DolceKappino
mafevil12-3521	DarinaGirl
magung-3130	GothImoUwu
maiyrael-2165	YouCannotBlockAnyHit
mak_th-0803	ผมขายบิ้วกดกาดแล้วก็แพ้
makcv72-1452	Skin_Tone_Six
maleficalkaid-4216	借我五神聖掛通牒
marcboss1234-7181	Sneky_AbsoluteCinema
marchrabbit-7904	飛行雪绒
marian_-4449	enregybldae
mariusniman2012-5658	DaddyDiddyDitItAgain
martinusKIM-6534	Mirage__GOOD
maxensas-4883	LeFaucheurDuMirage
maxmills123456-4388	TWWMyWifeC
mayday_rus-1115	WonderWhyWander
mcsb44-5705	MCSB_Mirage
mejhem-5453	Brog_PayMe
mekiamagoria-2076	HeadhunterSooold
methanman-2640	Nevuloch
mg123-1810	GorelkaVstala
mideacool-4921	GostoDeApanhar
mingtaok-1765	老字号黑店
miron322-0616	АЛОКУПИТЕСЕРВЕРА
mirrorhunter-2753	twohundredmirrors
miru123-4022	Miruuu
mkust-0564	AbiBeniSikk
mle101-3486	CousinsByChance
mokuraisnew-2538	Mokura
moonwhite-3004	媽祖叫我去刷圖了
mooowoo-5655	MirageMOOO
mooshings-1532	CasualMoosh
morningage-5122	十萬伏特降臨
morningrocket-0365	de_svinage
mrhandsomegod-2519	Trickybricky
mrtww29-1351	TWWPretyC
mudchief-8425	Mudchief_Sand
mugixd-6848	SHURORORO
mulukkujorma-7148	Mirage_Bot
muramura66-6115	EbladeMura
myviet-0333	EwicsGirl
nabXion-3269	Miner_Nab
nagydinik-0162	Zsivor
nanmiao-6055	SouthMeowAB
nascaline-4559	SpeedWagonMirage
naughty_g-5490	NaughtyMeowrageWander
nepnepgiveaway-6012	NepNepWillThrustDeepInU
nguyenmanh16111988-9826	Mirage_Duelistvnm
nhut252513-5530	iaK
nichosi5535-3518	boom_badaBoom
ninorly-5573	PawsAndClaws
ninuyya-5285	Mono_WOCOT_Mirage
niveous35-3702	Aqua_Mirage
njpe04djp07-5846	GanKgjioue
nlea4ye-5220	GSDFW
noa67-1373	signs_of_activity
noeinlife-5392	MyLittlePohui
nonoxxx-5120	nattom
notactic-7571	OwnageUnethicalCheater
noyh22k-1398	손홍만
npk20016-4787	GoldNi_Aura
nudle01-3686	단무지____
numpol0010-5242	กระจกกูอยู่ไหน
nunuzynho-3509	DIMALOKA_MIRAGE
oSANTAo-4364	DribblestheClown
oVn83-4031	oVnik_RF
obeisgreat12-5617	obeistemplar
ochi3-3281	ochic
okayk-2857	dayonesacredfarmer
olongkemsua-1388	MirageRFultimate
onlyjust5-2829	RUSHINGBONMIRAGE
oooonsk-3520	NSKPEWPEW
orlp-2505	orlp_delicious_product
ownedpocdqq-0387	legionkb_mirage
pTr9000-3218	MevrouwPraline
palTyVerPoE-4199	paltySmite
paololw-7084	PAPAO_LOVE_MIRAGE
paranoiaxssr-6720	ChumBucketExile
pbrz-7093	MIRAGE_THAT
pedjekile-7416	ывеванпролд
peparu-2721	Peparex
perkwrld-6405	QueefusJonathanDookey
perrygrino-2793	Gringo_Mirage
phax90-2335	BruceHatTotemsGesagt
pig880204-3816	珮蕾小亮戀綜的粉絲
pipifly-1385	LacerateMyInsides
piratkuk-1709	GasLover
pjsnara-5220	Mirage_HaNa
plus6-1355	Kahrl_RecomboMan
pocolox-2508	Mirage_LootEnjoyer
poe520520-0434	趕快塔可不要再跌啦
poe_pepega-9260	poe_pepega
poebota228-2268	Nullbot_mirage
poogf02-7956	AuA_poogf
postyour-4429	Mirage_Winter
pretokreca2-7751	PoeTwoDFourBad
pro100cost-4463	огурикап
problem23032-1182	HayTraoChoAnhhh
ps85-4960	Valakos_Eier
pscrout-4289	FurnaceMinecart
pudge-1256	napkotuku
purepancakes-1464	purepan
purungo-6138	TRainOfBeasts
puzopp-2531	S_kat
pympoo-4534	_Vazbic__
qazduck30-3164	我喜歡你我喜歡你我喜歡你我喜歡你我喜歡你
qiu10x-7760	Bolfos_Joaca_POE
qq511962730-3837	Adaotr
quang9x97-6394	Moon_Frieren
qw0105331-4788	TaNoom_IRR
qwartus-3381	qwartus_gabumon
qwer8888-4351	ГартиТоксиколёт
r0yal-1534	OtterNem
r2zion-2989	Bogi
rabzimbabve-1190	eeeseese
ragnaroknam-1185	Mirage_Okela
rainbowEHOT-3868	Доедаю_за_Антоном
rainoce-7865	rain_deadbuild
raizelnx-5702	BrasileiroMedioaaa
rakhpur-0470	Vell_sstgoagain
raler-3503	StandingInCirclesGolems
randomlife-2078	НИНТЕНДОСВИЩ
realcrombi-5131	Crombi_Beef
reamer69-3447	SmokeWeedNOW
rebirthenigma-3644	Leebomb_Mirage
redkoy6967-5924	再见丑小鸭再见
regintimel-2162	GolojopiyMutant
reinier888-1020	wooshing
reixa0803-5907	reixa_mir
rensoul1-4519	RensoulR
reol8198-4352	RollingInDeGon
resus1337-5837	расчехлил
rewikk-5173	PogromcaGejow
riemann8128-6942	mirage_riemann
rntgms-6748	SweetDisposition
roberta863-0575	MatheusManaKBAgain
roidontairk-7060	elortitoricoo
rozikoma-7262	Rozy_TrickMiner
rrafaa-5558	rrafaa_eh
rtsands45-4028	GreatestGachaGame
rydrake57-0442	aurarabe
s21-6641	SavingDude_Deniss
sadarta-2426	OrraBwat
sadge-4249	agลin
sakserv-2009	MISERV
saridonas-1713	SariEkoHappy
savagecoffee-4448	durrcoffee
sazabi114-3395	MirageDoorStuck
sbggg-6437	taozhu
schmuenku-2197	Prot_Mi_Rage
schurplex-1467	KleBrainDamageMan
secret-5036	banfubguneconomicabuse
seiice-0219	Mir_Botra
seitrox-7020	MirageSchmirage
serfrosty-3067	ChainsofClaytonCommand
shikai1209-3784	LebronJameswsq
shikidean1234-7180	DomHeeEIEI
shing829-1070	hsisbbg
sibalggg-6193	앞집누나의왕수박
sicktouch1-9400	MirGveawayTTVSpicySushi
signifiedsolid4-4662	SigReapExsanguinate
siiq-6546	MeliiMamba
sinchai-1797	꽃와재_허상
sirmrtaf-6238	FreeCandyVan
sittek-3603	SzybkiLopez
skannotdead-7637	MisterCopShopDotCom
skigun-2416	skigun_managuardian__
skokamozhnopzh-0721	Aurakentik
sky6195-3963	FKmibigmi
skybox81-3106	Skybox
smashmellow-5901	BuffBuffer_Mirage
smite6-3985	Smajto
snegov061-6043	Sneg_Mirage
sock_bot-6607	LewdDjinn
softiceallan-2723	DungaresseWeatherspoons
sokjuice-5070	UnderpantsCheeseJuices
sondertg-1775	sondserker
soudaaaaz-3620	Rolleeee
soulwarding-0220	GroundLootItIsMirage
sparky117-0356	TheBetrayerKharn
spit03pt-0806	NotAlkash
squpoe-7943	skuEe_Banners
st73335618-0915	AUA_WOOYAN
stanchion123-6052	MasterTangMirage
stephen21-4794	闪打伊隆马
stpopeofkonoha-4922	LongNeckPennytree
stranagovna14889-1649	Jutonger
stylekrit007-0986	SwindleGladiator
successfulbet-7958	该回到初心了
sumb2017-4466	你是我的我是你的谁哦贝贝
sungkunjo-3895	큰조아이시클마인
sunny3s-5773	AURAMAN_OKADA
surgi_xe-5391	Surg_Mirage
surkamuy-7230	SurkamuyMirageCoC
swatpro-4646	Чемпион_Балтики_Девять
sweetmoll-3391	Seraphimz_Blaz
sydtko-1525	SYD
t1mx-1138	IMJUNGROANpopinov
t4m1r-0864	asdadadaddadadadadsadad
taisteluPASKA-4124	klippanixdd
tanksro-8805	My_Sun
tearl4ke-1540	dedboris
tech4me-4462	BannerOp
teiphel-4248	Teiph_FiveGoys
termaex-1091	TmxAemeath
terrordoom-0612	TykezZz_Endgame
thdxps-2023	Miragten
the_legend_of_Prede-2642	Predofear_XXVI
thebenjin-2309	Vèttigefrèns
thebisa-0927	ThebisKBB
thedarkbleuse-7116	sup_mirage
theop401-6691	ZachRangerQD
theraduku17-2539	totemplm
thienhuynh2011-4483	asdcn
tiffsterx-4218	tiffsterblaster
tijakor-4592	HappyEppyLeppy
tipa_tipa-5635	HexHex_Mirage
toibingoo-3349	Anhker_Xadan
tomo65044-6771	tomodualstrike
tomonru-7623	Mir_kamo
tqft-5729	喜多村英梨
tratatatatata-6274	很高兴见到你
tree-3417	热烈的小查二九
trek61-0151	亞亞亞亞亞亞
trungnghia42-1142	CrashedLeaguee
tuandvnaruto2-5530	Mirage_Tusaca_Kboc
tulakarn01-4321	Kor_T
tungjudwaifu-1412	ภาพลวงตาโทเทม
turdtwisterx-4882	STEVEN_TURDLER
turtleshock-7697	midnightwaitingroomlmao
turugtura8-7354	Mirage_Showda
tvn-8134	manatvn
twbtwb-3498	WizbizRfboom
txfelendil-3241	GDSFan_Mirage
ubernrd-7899	jajkasdjkaksjdjkakjkkjk
un3x-6743	Unex_Mirage
unicorn99991-4766	EmperorTomatoKetchup
unsheePOE-1739	Ahuenchiks
utauteto0401-5830	Ruri_tyjuicyrona
valiolii02-7248	Popukalplusponuhal
valkucio-3602	NTSAIS
vanfanel974-7763	Vanfafarougail
varshketis-3126	Feudyn_mirage
vavantys2-1947	natsukashiirizumu
vechayaya-0391	MASSIVE_CORTISOL_SPIKE
vechs-1971	sabocatrend
veshchunov-1042	EKIP_MILITARY
vhdomingues-3960	bolu_xddFILA
victork02-3058	DESGRAÇAMIRAGE
vilsukka-2589	ICBAAAAA
vincentz227-6201	SaintVakonza
vinrost-7252	Adorned_Printer
vishiburu-5598	vishi
visionpepela-5207	Beton_Racsipie
vladasya-4496	порноэфти
voituretag70-6925	MyAssIsFullOfCum
voxdomini-4666	isi_ant_crusader
wangleiLF001-2266	Lei_DivineGMH_MIRAGE
wannacry-9971	Lukashenko_never_cries
warbane1-3073	MirageBanes
watace-2739	わんわんお
watamezxc-0317	watameme
wayne5020-4690	gododman_mir
welendel-4527	クールな弁護士
wewewesimun-2289	二十九苏暮
wibulords27-7247	QuyCuuTroBacKi
willy79-6869	effpoop
winkos-2139	FullEbanisteria
wiwa110-3997	bonenuel
wizzardo1337-0658	wizicypatz
wjwnwnd-1668	RollingMagma_sb
wmaga-5613	SendYourGfApplications
woofersa-2692	Mirage_Dt
wukosha_poe-3319	цупывва
wxbv9-2749	wxb_chunko
x2072175423-4385	幸运蓝色喵
x420-1909	SimulacrumSucker
xB3Nx-4990	BEN_GOD
xBulLZz-4145	Geloeffelt_WieEinLoewe
xMedz-4075	Jmdz_DadGamer
xSerhio-1799	FeelSmiteMann
xTotalityx-1104	Mirage_Totality
xVanityx-1589	VaNastyStr
xXxDragonSlayer1337xXx-3770	Never_Play_Mines
xalxixinha-8965	PastelariaDoXalx
xddSnake-8251	TheSnakeItGotMeInThe
xerxesp-7377	我将召唤一堆小兵并征服所有舆图
xiao139220-6170	香香福
xinter69-6311	ntwmirage
xxhhbbzz-6813	千智障雞你太美
xzcvvzvz-9341	Big_Thug
xzmnick-4235	Lian_bla
xzyzio-0312	Bonk_Stick
y967250-5711	風流立委才幹過人
yHeavyMetal-1381	OsakoTamusho
yalike-2570	yalike_mirage
yamatochka-5857	mércurry
yangcy-0206	幻境超越
yangjiehf121-1125	Riocrdonvss
yeuyeu-1389	meaningkisses
yggow-2745	Don_Bonks
yikerz-6117	ExtremeSupremeDeluxe
ykgbxmat-1221	KillerMop
yoteyote3-4871	ParderosMirage
youcalptus-1760	mirm_goodluck
zRolandz-6145	DumbDom
zachary0301-1209	zzzGP
zalupoeshka-2972	metadatapoe
zazzo-6155	Zogzo
zen5amd-6213	miragezom
zoldseggg-6758	Zoldseg_Salami
zulu314-5653	qlMirage
zvsa-3365	loippa
zwdty-7657	天涯处刑
zxs19951009-5462	Mirage_zzz
МаминаЧерешня-6996	vova_kobra
НизкийФлекс-1018	MazdaAmG
Чмонич-3381	CocoChanel
ㆍSaillensㆍ-3270	Saillens_Mirage
人定胜天-6800	Lollllxd
快乐肥仔-5105	AFEIII
緒に過ごした最後の日-2093	phanntomlancerr
部门-1438	MANAbuasia
기분나쁨-6729	Mirage_chunja
누나말좀들어-1860	삼전평단삼만
두부와콩즙-7220	Mirage_Kimchi
럭셔리k-4248	럭셔리_광부
런커배스-5973	미라지배스
명진이-1181	무지개오소리
모모짱짱천재-5537	Chris_GOAT_Wilson
묵은지김치찜2-7878	Kimchi_NeilArmstrong
므므므므-2093	위윌위윌라뀨
쁘레따뽀르떼-4360	와쿠와쿠
사각하늘-2749	스윗냐오
사내질정-6459	건틀릿미리해보기
선조들의_심판-5287	파밍왕리오
소호이-4830	티씨티를아시나요
수호띠-2027	도박쟁이수호__
실버소울-6552	Karinas_mirage
아침상쾌-4868	Morning_Mirage
아케비-1759	도로도로롱
약빨고트롤링-1231	마우스좌클릭압수
어흑마이깟-3779	Mir_sasa
은향이-7414	GGLETGO
응원단장-6344	누구도막을수없음
쥐렸다-6219	MirageK
진종오-3452	armas_sc
쭈니쟝-0190	Mirage_JJUNY
칼슘두유-5336	미라지캡슐
쿠쿼인즈-0707	Mirage_Kukui
퇴마술사-2503	미라지_고양이
행케1-0238	허상_행케
